Juego inicializado - Nivel 1 (mapa 10x10) - 4 colectables
Sala inicial: 0

=== SETUP INICIAL ===
Posicion de la camara: -20.00, 1.00, 12.00
Centro de sala (y, x) 2D: 5, 3
Mouse Moved: Yaw -> -148.25, Pitch -> -3.00
Mouse Moved: Yaw -> -149.50, Pitch -> -3.25
Mouse Moved: Yaw -> -150.75, Pitch -> -3.25
Mouse Moved: Yaw -> -152.25, Pitch -> -3.50
Mouse Moved: Yaw -> -153.75, Pitch -> -3.75
Mouse Moved: Yaw -> -155.00, Pitch -> -4.00
Mouse Moved: Yaw -> -156.75, Pitch -> -4.00
Mouse Moved: Yaw -> -158.25, Pitch -> -4.00
Mouse Moved: Yaw -> -159.75, Pitch -> -4.25
Mouse Moved: Yaw -> -161.00, Pitch -> -4.25
Mouse Moved: Yaw -> -162.50, Pitch -> -4.50
Mouse Moved: Yaw -> -164.00, Pitch -> -4.50
Mouse Moved: Yaw -> -165.25, Pitch -> -4.50
Mouse Moved: Yaw -> -166.75, Pitch -> -4.75
Mouse Moved: Yaw -> -168.00, Pitch -> -4.75
Mouse Moved: Yaw -> -169.25, Pitch -> -5.00
Mouse Moved: Yaw -> -170.75, Pitch -> -5.00
Mouse Moved: Yaw -> -172.00, Pitch -> -5.25
Mouse Moved: Yaw -> -173.25, Pitch -> -5.25
Mouse Moved: Yaw -> -174.25, Pitch -> -5.25
Mouse Moved: Yaw -> -175.00, Pitch -> -5.25
Mouse Moved: Yaw -> -175.75, Pitch -> -5.50
Mouse Moved: Yaw -> -176.50, Pitch -> -5.50
Mouse Moved: Yaw -> -176.75, Pitch -> -5.50
Mouse Moved: Yaw -> -176.75, Pitch -> -5.25
Mouse Moved: Yaw -> -176.50, Pitch -> -4.75
Mouse Moved: Yaw -> -176.00, Pitch -> -4.50
Mouse Moved: Yaw -> -175.25, Pitch -> -4.25
Mouse Moved: Yaw -> -173.75, Pitch -> -4.00
Mouse Moved: Yaw -> -171.50, Pitch -> -3.50
Mouse Moved: Yaw -> -168.25, Pitch -> -3.50
Mouse Moved: Yaw -> -164.50, Pitch -> -3.50
Mouse Moved: Yaw -> -160.00, Pitch -> -3.50
Mouse Moved: Yaw -> -154.50, Pitch -> -3.50
Mouse Moved: Yaw -> -148.75, Pitch -> -3.50
Mouse Moved: Yaw -> -142.75, Pitch -> -3.50
Mouse Moved: Yaw -> -136.50, Pitch -> -3.50
Mouse Moved: Yaw -> -130.00, Pitch -> -3.50
Mouse Moved: Yaw -> -123.75, Pitch -> -3.50
Mouse Moved: Yaw -> -117.25, Pitch -> -3.50
Mouse Moved: Yaw -> -110.75, Pitch -> -3.50
Mouse Moved: Yaw ->
